daily_closing_price,time
1.34,2021-03-11 00:00:00.000 UTC
1.37,2021-03-12 00:00:00.000 UTC
1.43,2021-03-13 00:00:00.000 UTC
1.5,2021-03-14 00:00:00.000 UTC
1.44,2021-03-15 00:00:00.000 UTC
1.42,2021-03-16 00:00:00.000 UTC
1.43,2021-03-17 00:00:00.000 UTC
1.42,2021-03-18 00:00:00.000 UTC
1.53,2021-03-19 00:00:00.000 UTC
1.49,2021-03-20 00:00:00.000 UTC
1.61,2021-03-21 00:00:00.000 UTC
1.47,2021-03-22 00:00:00.000 UTC
1.4,2021-03-23 00:00:00.000 UTC
1.26,2021-03-24 00:00:00.000 UTC
1.21,2021-03-25 00:00:00.000 UTC
1.4,2021-03-26 00:00:00.000 UTC
1.37,2021-03-27 00:00:00.000 UTC
1.44,2021-03-28 00:00:00.000 UTC
1.54,2021-03-29 00:00:00.000 UTC
1.51,2021-03-30 00:00:00.000 UTC
1.43,2021-03-31 00:00:00.000 UTC
1.46,2021-04-01 00:00:00.000 UTC
1.45,2021-04-02 00:00:00.000 UTC
1.39,2021-04-03 00:00:00.000 UTC
1.5,2021-04-04 00:00:00.000 UTC
1.65,2021-04-05 00:00:00.000 UTC
1.62,2021-04-06 00:00:00.000 UTC
1.51,2021-04-07 00:00:00.000 UTC
1.82,2021-04-08 00:00:00.000 UTC
1.75,2021-04-09 00:00:00.000 UTC
1.77,2021-04-10 00:00:00.000 UTC
1.71,2021-04-11 00:00:00.000 UTC
1.67,2021-04-12 00:00:00.000 UTC
1.69,2021-04-13 00:00:00.000 UTC
1.67,2021-04-14 00:00:00.000 UTC
1.76,2021-04-15 00:00:00.000 UTC
1.73,2021-04-16 00:00:00.000 UTC
1.7,2021-04-17 00:00:00.000 UTC
1.44,2021-04-18 00:00:00.000 UTC
1.39,2021-04-19 00:00:00.000 UTC
1.37,2021-04-20 00:00:00.000 UTC
1.32,2021-04-21 00:00:00.000 UTC
1.18,2021-04-22 00:00:00.000 UTC
1.14,2021-04-23 00:00:00.000 UTC
1.06,2021-04-24 00:00:00.000 UTC
1.05,2021-04-25 00:00:00.000 UTC
1.24,2021-04-26 00:00:00.000 UTC
1.37,2021-04-27 00:00:00.000 UTC
1.3,2021-04-28 00:00:00.000 UTC
1.31,2021-04-29 00:00:00.000 UTC
1.36,2021-04-30 00:00:00.000 UTC
1.4,2021-05-01 00:00:00.000 UTC
1.32,2021-05-02 00:00:00.000 UTC
1.46,2021-05-03 00:00:00.000 UTC
1.3,2021-05-04 00:00:00.000 UTC
1.39,2021-05-05 00:00:00.000 UTC
1.38,2021-05-06 00:00:00.000 UTC
1.46,2021-05-07 00:00:00.000 UTC
1.48,2021-05-08 00:00:00.000 UTC
1.52,2021-05-09 00:00:00.000 UTC
1.37,2021-05-10 00:00:00.000 UTC
1.43,2021-05-11 00:00:00.000 UTC
1.25,2021-05-12 00:00:00.000 UTC
1.2,2021-05-13 00:00:00.000 UTC
1.25,2021-05-14 00:00:00.000 UTC
1.11,2021-05-15 00:00:00.000 UTC
1.1,2021-05-16 00:00:00.000 UTC
1.05,2021-05-17 00:00:00.000 UTC
1.078924,2021-05-18 00:00:00.000 UTC
0.754544,2021-05-19 00:00:00.000 UTC
0.806496,2021-05-20 00:00:00.000 UTC
0.6639,2021-05-21 00:00:00.000 UTC
0.597464,2021-05-22 00:00:00.000 UTC
0.503279,2021-05-23 00:00:00.000 UTC
0.621343,2021-05-24 00:00:00.000 UTC
0.599099,2021-05-25 00:00:00.000 UTC
0.721496,2021-05-26 00:00:00.000 UTC
0.680705,2021-05-27 00:00:00.000 UTC
0.601952,2021-05-28 00:00:00.000 UTC
0.539351,2021-05-29 00:00:00.000 UTC
0.551984,2021-05-30 00:00:00.000 UTC
0.602247,2021-05-31 00:00:00.000 UTC
0.608488,2021-06-01 00:00:00.000 UTC
0.651974,2021-06-02 00:00:00.000 UTC
0.728099,2021-06-03 00:00:00.000 UTC
0.644864,2021-06-04 00:00:00.000 UTC
0.620063,2021-06-05 00:00:00.000 UTC
0.6462,2021-06-06 00:00:00.000 UTC
0.588112,2021-06-07 00:00:00.000 UTC
0.576438,2021-06-08 00:00:00.000 UTC
0.599999,2021-06-09 00:00:00.000 UTC
0.557411,2021-06-10 00:00:00.000 UTC
0.503739,2021-06-11 00:00:00.000 UTC
0.48481,2021-06-12 00:00:00.000 UTC
0.521616,2021-06-13 00:00:00.000 UTC
0.555175,2021-06-14 00:00:00.000 UTC
0.549413,2021-06-15 00:00:00.000 UTC
0.552072,2021-06-16 00:00:00.000 UTC
0.549007,2021-06-17 00:00:00.000 UTC
0.499782,2021-06-18 00:00:00.000 UTC
0.490299,2021-06-19 00:00:00.000 UTC
0.492863,2021-06-20 00:00:00.000 UTC
